entry,value
player_id,467
web_name,Cunningham
team,Chelsea
first_name,Greg
second_name,Cunninghamm
cost_end,4.1
value_form,0.0
value_season,2.2
cost_change_start,-4
cost_start,8.1
dreamteam_count,0
selected_by_percent,0.0
total_points,9
ppg,1.3
minutes,630
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,72
influence,106.4
creativity,69.7
threat,19.0
ict_index,19.6
ea_index,0
position,Defender
