entry,value
player_id,472
web_name,Sturridge
team,Man Utd
first_name,Daniel
second_name,Sturridge
cost_end,5.6
value_form,0.2
value_season,6.1
cost_change_start,-4
cost_start,9.6
dreamteam_count,0
selected_by_percent,1.0
total_points,34
ppg,1.9
minutes,498
goals_scored,2
assists,1
clean_sheets,2
goals_conceded,5
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,2
bps,121
influence,117.6
creativity,117.6
threat,186.0
ict_index,41.7
ea_index,0
position,Forward
