entry,value
player_id,340
web_name,Højbjerg
team,Southampton
first_name,Pierre-Emile
second_name,Højbjerg
cost_end,4.4
value_form,0.7
value_season,20.5
cost_change_start,-0.1
cost_start,4.5
dreamteam_count,1
selected_by_percent,3.2
total_points,90
ppg,2.9
minutes,2760
goals_scored,4
assists,3
clean_sheets,4
goals_conceded,59
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,2
saves,0
bonus,8
bps,477
influence,616.0
creativity,445.6
threat,421.0
ict_index,148.8
ea_index,0
position,Midfielder
