entry,value
player_id,556
web_name,Valery
team,Swansea
first_name,Yan
second_name,Valery
cost_end,4.1
value_form,0.5
value_season,13.2
cost_change_start,1
cost_start,3.0999999999999996
dreamteam_count,1
selected_by_percent,4.1
total_points,54
ppg,2.3
minutes,1709
goals_scored,2
assists,1
clean_sheets,3
goals_conceded,30
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,0
bps,251
influence,329.4
creativity,124.7
threat,157.0
ict_index,60.7
ea_index,0
position,Defender
