,team_h_score,team_a_score,was_home,opponent_team
1,2,1,True,Leicester
2,3,2,False,Brighton
3,0,3,True,Spurs
4,0,2,False,Burnley
5,1,2,False,Watford
6,1,1,True,Wolves
7,3,1,False,West Ham
8,3,2,True,Newcastle
9,2,2,False,Chelsea
10,2,1,True,Everton
11,1,2,False,Bournemouth
12,3,1,False,Man City
13,0,0,True,Crystal Palace
14,2,2,False,Southampton
15,2,2,True,Arsenal
16,4,1,True,Fulham
17,3,1,False,Liverpool
18,1,5,False,Cardiff
19,3,1,True,Huddersfield
20,4,1,True,Bournemouth
21,0,2,False,Newcastle
22,0,1,False,Spurs
23,2,1,True,Brighton
24,2,2,True,Burnley
25,0,1,False,Leicester
26,0,3,False,Fulham
27,0,0,True,Liverpool
28,1,3,False,Crystal Palace
29,3,2,True,Southampton
30,2,0,False,Arsenal
31,2,1,True,Watford
32,2,1,False,Wolves
33,2,1,True,West Ham
34,4,0,False,Everton
35,0,2,True,Man City
36,1,1,True,Chelsea
37,1,1,False,Huddersfield
38,0,2,True,Cardiff
