entry,value
player_id,42
web_name,Brooks
team,Bournemouth
first_name,David
second_name,Brooks
cost_end,5.0
value_form,0.3
value_season,24.6
cost_change_start,0.0
cost_start,5.0
dreamteam_count,2
selected_by_percent,3.6
total_points,123
ppg,4.1
minutes,2263
goals_scored,7
assists,6
clean_sheets,9
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,7
bps,414
influence,598.0
creativity,466.7
threat,609.0
ict_index,167.5
ea_index,0
position,Midfielder
