entry,value
player_id,328
web_name,McCarthy
team,Southampton
first_name,Alex
second_name,McCarthy
cost_end,4.3
value_form,0.0
value_season,17.0
cost_change_start,-0.2
cost_start,4.5
dreamteam_count,1
selected_by_percent,2.0
total_points,73
ppg,2.9
minutes,2250
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,44
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,78
bonus,6
bps,414
influence,585.2
creativity,0.0
threat,0.0
ict_index,58.6
ea_index,0
position,Goalkeeper
