entry,value
player_id,297
web_name,Mata
team,Man Utd
first_name,Juan
second_name,Mata
cost_end,6.1
value_form,0.5
value_season,11.5
cost_change_start,-0.4
cost_start,6.5
dreamteam_count,2
selected_by_percent,1.2
total_points,70
ppg,3.2
minutes,1284
goals_scored,3
assists,4
clean_sheets,5
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,7
bps,274
influence,258.4
creativity,464.0
threat,262.0
ict_index,98.6
ea_index,0
position,Midfielder
