entry,value
player_id,433
web_name,Neves
team,West Brom
first_name,Rúben Diogo
second_name,da Silva Neves
cost_end,4.9
value_form,1.0
value_season,21.2
cost_change_start,-1
cost_start,5.9
dreamteam_count,2
selected_by_percent,10.4
total_points,104
ppg,3.0
minutes,3006
goals_scored,4
assists,3
clean_sheets,8
goals_conceded,43
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,0
saves,0
bonus,7
bps,483
influence,698.2
creativity,365.9
threat,402.0
ict_index,146.8
ea_index,0
position,Midfielder
