entry,value
player_id,286
web_name,Shaw
team,Southampton
first_name,Luke
second_name,Shaw
cost_end,5.1
value_form,0.5
value_season,17.8
cost_change_start,1
cost_start,4.1
dreamteam_count,1
selected_by_percent,8.1
total_points,91
ppg,3.1
minutes,2591
goals_scored,1
assists,5
clean_sheets,6
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,11
red_cards,0
saves,0
bonus,11
bps,489
influence,586.2
creativity,505.6
threat,287.0
ict_index,138.1
ea_index,0
position,Defender
