entry,value
player_id,571
web_name,Barnes
team,Man City
first_name,Harvey
second_name,Barnes
cost_end,5.5
value_form,0.2
value_season,7.8
cost_change_start,0
cost_start,5.5
dreamteam_count,0
selected_by_percent,0.2
total_points,43
ppg,2.7
minutes,1001
goals_scored,1
assists,3
clean_sheets,1
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,1
bps,139
influence,172.8
creativity,242.0
threat,534.0
ict_index,94.8
ea_index,0
position,Midfielder
