entry,value
player_id,450
web_name,Torreira
team,Arsenal
first_name,Lucas
second_name,Torreira
cost_end,4.7
value_form,0.2
value_season,16.6
cost_change_start,-0.3
cost_start,5.0
dreamteam_count,1
selected_by_percent,2.6
total_points,78
ppg,2.3
minutes,2377
goals_scored,2
assists,4
clean_sheets,5
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,1
saves,0
bonus,6
bps,409
influence,440.8
creativity,301.0
threat,203.0
ict_index,94.5
ea_index,0
position,Midfielder
