entry,value
player_id,370
web_name,Lucas Moura
team,Spurs
first_name,Lucas
second_name,Rodrigues Moura da Silva
cost_end,6.9
value_form,0.4
value_season,19.0
cost_change_start,-1
cost_start,7.9
dreamteam_count,2
selected_by_percent,11.9
total_points,131
ppg,4.1
minutes,2115
goals_scored,10
assists,2
clean_sheets,14
goals_conceded,18
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,8
bps,340
influence,556.4
creativity,415.6
threat,650.0
ict_index,161.9
ea_index,0
position,Midfielder
