entry,value
player_id,198
web_name,Kongolo
team,Liverpool
first_name,Terence
second_name,Kongolo
cost_end,4.3
value_form,0.4
value_season,14.0
cost_change_start,-2
cost_start,6.3
dreamteam_count,1
selected_by_percent,0.2
total_points,60
ppg,1.9
minutes,2716
goals_scored,1
assists,1
clean_sheets,4
goals_conceded,65
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,4
bps,429
influence,581.0
creativity,138.5
threat,160.0
ict_index,88.1
ea_index,0
position,Defender
