entry,value
player_id,69
web_name,Lowton
team,Burnley
first_name,Matthew
second_name,Lowton
cost_end,4.6
value_form,0.2
value_season,7.4
cost_change_start,-0.4
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.2
total_points,34
ppg,1.6
minutes,1748
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,1
bps,269
influence,338.0
creativity,158.6
threat,48.0
ict_index,54.6
ea_index,0
position,Defender
