entry,value
player_id,191
web_name,Lössl
team,Liverpool
first_name,Jonas
second_name,Lössl
cost_end,4.4
value_form,0.7
value_season,22.5
cost_change_start,-1
cost_start,5.4
dreamteam_count,2
selected_by_percent,1.5
total_points,99
ppg,3.2
minutes,2777
goals_scored,0
assists,1
clean_sheets,5
goals_conceded,54
own_goals,0
penalties_saved,1
penalties_missed,0
yellow_cards,1
red_cards,0
saves,88
bonus,9
bps,541
influence,764.2
creativity,40.3
threat,4.0
ict_index,80.7
ea_index,0
position,Goalkeeper
