entry,value
player_id,460
web_name,Christie
team,Fulham
first_name,Cyrus
second_name,Christie
cost_end,4.2
value_form,1.0
value_season,10.0
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,1
selected_by_percent,0.2
total_points,42
ppg,1.5
minutes,1941
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,42
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,2
bps,278
influence,423.2
creativity,293.1
threat,107.0
ict_index,82.2
ea_index,0
position,Defender
