,was_home,opponent_team,team_score,opponent_score
1,False,Fulham,2,0
2,True,Liverpool,0,2
3,False,Watford,1,2
4,True,Southampton,0,2
5,False,Huddersfield,1,0
6,True,Newcastle,0,0
7,False,Bournemouth,1,2
8,True,Wolves,0,1
9,False,Everton,0,2
10,True,Arsenal,2,2
11,False,Chelsea,1,3
12,True,Spurs,0,1
13,False,Man Utd,0,0
14,True,Burnley,2,0
15,False,Brighton,1,3
16,False,West Ham,2,3
17,True,Leicester,1,0
18,False,Man City,3,2
19,True,Cardiff,0,0
20,True,Chelsea,0,1
21,False,Wolves,2,0
22,True,Watford,1,2
23,False,Liverpool,3,4
24,False,Southampton,1,1
25,True,Fulham,2,0
26,True,West Ham,1,1
27,False,Leicester,4,1
28,True,Man Utd,1,3
29,False,Burnley,3,1
30,True,Brighton,1,2
31,True,Huddersfield,2,0
32,False,Spurs,0,2
33,False,Newcastle,1,0
34,True,Man City,1,3
35,False,Arsenal,3,2
36,True,Everton,0,0
37,False,Cardiff,3,2
38,True,Bournemouth,5,3
