entry,value
player_id,168
web_name,Gueye
team,Huddersfield
first_name,Idrissa
second_name,Gueye
cost_end,4.7
value_form,0.6
value_season,16.6
cost_change_start,-3
cost_start,7.7
dreamteam_count,0
selected_by_percent,0.3
total_points,78
ppg,2.4
minutes,2821
goals_scored,0
assists,2
clean_sheets,13
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,0
bps,472
influence,629.2
creativity,311.3
threat,168.0
ict_index,111.1
ea_index,0
position,Midfielder
