entry,value
player_id,3
web_name,Koscielny
team,Arsenal
first_name,Laurent
second_name,Koscielny
cost_end,5.4
value_form,0.1
value_season,11.5
cost_change_start,-0.1
cost_start,5.5
dreamteam_count,1
selected_by_percent,0.9
total_points,62
ppg,3.6
minutes,1329
goals_scored,3
assists,0
clean_sheets,3
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,8
bps,319
influence,456.4
creativity,29.5
threat,105.0
ict_index,59.1
ea_index,0
position,Defender
