entry,value
player_id,139
web_name,Dann
team,Crystal Palace
first_name,Scott
second_name,Dann
cost_end,4.4
value_form,0.5
value_season,5.2
cost_change_start,-0.1
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.1
total_points,23
ppg,2.3
minutes,661
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,129
influence,186.2
creativity,22.5
threat,71.0
ict_index,28.1
ea_index,0
position,Defender
