,was_home,opponent_team,team_score,opponent_score
1,False,Arsenal,2,0
2,True,Huddersfield,6,1
3,False,Wolves,1,1
4,True,Newcastle,2,1
5,True,Fulham,3,0
6,False,Cardiff,5,0
7,True,Brighton,2,0
8,False,Liverpool,0,0
9,True,Burnley,5,0
10,False,Spurs,1,0
11,True,Southampton,6,1
12,True,Man Utd,3,1
13,False,West Ham,4,0
14,True,Bournemouth,3,1
15,False,Watford,2,1
16,False,Chelsea,0,2
17,True,Everton,3,1
18,True,Crystal Palace,2,3
19,False,Leicester,1,2
20,False,Southampton,3,1
21,True,Liverpool,2,1
22,True,Wolves,3,0
23,False,Huddersfield,3,0
24,False,Newcastle,1,2
25,True,Arsenal,3,1
26,False,Everton,2,0
27,True,Chelsea,6,0
28,True,West Ham,1,0
29,False,Bournemouth,1,0
30,True,Watford,3,1
31,False,Fulham,2,0
32,True,Cardiff,2,0
33,False,Crystal Palace,3,1
34,True,Spurs,1,0
35,False,Man Utd,2,0
36,False,Burnley,1,0
37,True,Leicester,1,0
38,False,Brighton,4,1
