entry,value
player_id,274
web_name,Gündogan
team,Newcastle
first_name,Ilkay
second_name,Gündogan
cost_end,5.4
value_form,0.9
value_season,20.9
cost_change_start,-1
cost_start,6.4
dreamteam_count,1
selected_by_percent,2.3
total_points,113
ppg,3.6
minutes,2129
goals_scored,6
assists,3
clean_sheets,13
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,10
bps,528
influence,548.8
creativity,819.7
threat,447.0
ict_index,181.6
ea_index,0
position,Midfielder
