entry,value
player_id,87
web_name,Wood
team,Burnley
first_name,Chris
second_name,Wood
cost_end,6.3
value_form,0.4
value_season,20.8
cost_change_start,-0.2
cost_start,6.5
dreamteam_count,3
selected_by_percent,1.4
total_points,131
ppg,3.4
minutes,2580
goals_scored,10
assists,3
clean_sheets,7
goals_conceded,49
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,17
bps,379
influence,475.8
creativity,310.3
threat,911.0
ict_index,167.9
ea_index,0
position,Forward
