entry,value
player_id,357
web_name,Trippier
team,Spurs
first_name,Kieran
second_name,Trippier
cost_end,6.0
value_form,0.5
value_season,19.7
cost_change_start,0
cost_start,6.0
dreamteam_count,3
selected_by_percent,15.2
total_points,118
ppg,4.4
minutes,2275
goals_scored,1
assists,5
clean_sheets,10
goals_conceded,23
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,16
bps,573
influence,601.6
creativity,827.0
threat,121.0
ict_index,155.0
ea_index,0
position,Defender
