entry,value
player_id,252
web_name,Wijnaldum
team,Liverpool
first_name,Georginio
second_name,Wijnaldum
cost_end,5.5
value_form,0.5
value_season,19.6
cost_change_start,0.0
cost_start,5.5
dreamteam_count,1
selected_by_percent,1.4
total_points,108
ppg,3.1
minutes,2723
goals_scored,3
assists,1
clean_sheets,18
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,9
bps,470
influence,437.6
creativity,405.2
threat,338.0
ict_index,118.4
ea_index,0
position,Midfielder
