entry,value
player_id,499
web_name,Kovacic
team,Chelsea
first_name,Mateo
second_name,Kovacic
cost_end,5.7
value_form,0.2
value_season,11.2
cost_change_start,-0.3
cost_start,6.0
dreamteam_count,0
selected_by_percent,0.7
total_points,64
ppg,2.0
minutes,1725
goals_scored,0
assists,2
clean_sheets,9
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,2
bps,343
influence,315.4
creativity,468.8
threat,311.0
ict_index,109.9
ea_index,0
position,Midfielder
