entry,value
player_id,413
web_name,Obiang
team,West Ham
first_name,Pedro
second_name,Obiang
cost_end,4.2
value_form,0.3
value_season,10.2
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.8
total_points,43
ppg,1.8
minutes,1116
goals_scored,0
assists,2
clean_sheets,2
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,1
bps,188
influence,219.2
creativity,105.9
threat,112.0
ict_index,43.6
ea_index,0
position,Midfielder
