entry,value
player_id,338
web_name,Ward-Prowse
team,Swansea
first_name,James
second_name,Ward-Prowse
cost_end,5.1
value_form,0.7
value_season,18.4
cost_change_start,-4
cost_start,9.1
dreamteam_count,3
selected_by_percent,3.7
total_points,94
ppg,3.6
minutes,1940
goals_scored,7
assists,0
clean_sheets,3
goals_conceded,41
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,15
bps,390
influence,592.0
creativity,695.8
threat,387.0
ict_index,167.4
ea_index,0
position,Midfielder
