entry,value
player_id,475
web_name,Moutinho
team,Wolves
first_name,João Filipe Iria
second_name,Santos Moutinho
cost_end,5.1
value_form,0.5
value_season,23.3
cost_change_start,-0.4
cost_start,5.5
dreamteam_count,1
selected_by_percent,5.1
total_points,119
ppg,3.1
minutes,3030
goals_scored,1
assists,8
clean_sheets,9
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,13
bps,628
influence,812.6
creativity,1245.8
threat,102.0
ict_index,216.4
ea_index,0
position,Midfielder
