entry,value
player_id,27
web_name,Steve Cook
team,Bournemouth
first_name,Steve
second_name,Cook
cost_end,4.3
value_form,0.6
value_season,19.8
cost_change_start,-2
cost_start,6.3
dreamteam_count,1
selected_by_percent,4.2
total_points,85
ppg,2.7
minutes,2786
goals_scored,1
assists,1
clean_sheets,9
goals_conceded,56
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,6
bps,549
influence,731.0
creativity,143.3
threat,292.0
ict_index,116.5
ea_index,0
position,Defender
