entry,value
player_id,592
web_name,Batshuayi
team,Everton
first_name,Michy
second_name,Batshuayi
cost_end,6.2
value_form,1.0
value_season,7.7
cost_change_start,-3
cost_start,9.2
dreamteam_count,1
selected_by_percent,0.8
total_points,48
ppg,4.4
minutes,748
goals_scored,5
assists,1
clean_sheets,3
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,5
bps,159
influence,198.6
creativity,41.4
threat,406.0
ict_index,64.2
ea_index,0
position,Forward
