entry,value
player_id,522
web_name,Stankovic
team,Liverpool
first_name,Jon Gorenc
second_name,Stankovic
cost_end,3.9
value_form,0.2
value_season,6.2
cost_change_start,-1
cost_start,4.9
dreamteam_count,0
selected_by_percent,2.9
total_points,24
ppg,2.2
minutes,715
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,127
influence,166.6
creativity,28.2
threat,101.0
ict_index,29.5
ea_index,0
position,Defender
