entry,value
player_id,389
web_name,Capoue
team,Watford
first_name,Etienne
second_name,Capoue
cost_end,4.8
value_form,0.2
value_season,16.5
cost_change_start,-0.2
cost_start,5.0
dreamteam_count,1
selected_by_percent,0.5
total_points,79
ppg,2.4
minutes,2944
goals_scored,1
assists,3
clean_sheets,8
goals_conceded,48
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,14
red_cards,1
saves,0
bonus,8
bps,496
influence,656.6
creativity,219.2
threat,152.0
ict_index,102.8
ea_index,0
position,Midfielder
