entry,value
player_id,257
web_name,Firmino
team,Liverpool
first_name,Roberto
second_name,Firmino
cost_end,9.3
value_form,0.0
value_season,17.2
cost_change_start,-0.2
cost_start,9.5
dreamteam_count,3
selected_by_percent,14.2
total_points,160
ppg,4.7
minutes,2606
goals_scored,12
assists,8
clean_sheets,19
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,24
bps,647
influence,774.8
creativity,670.1
threat,1240.0
ict_index,267.8
ea_index,0
position,Forward
