entry,value
player_id,303
web_name,McTominay
team,Man Utd
first_name,Scott
second_name,McTominay
cost_end,4.2
value_form,0.7
value_season,9.0
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,1
selected_by_percent,1.2
total_points,38
ppg,2.4
minutes,862
goals_scored,2
assists,0
clean_sheets,1
goals_conceded,18
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,4
bps,152
influence,175.4
creativity,33.1
threat,180.0
ict_index,38.8
ea_index,0
position,Midfielder
